Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"What is the runtime when using Counting Sort for sorting n numbers with maximum d digits with basis k based on their digits?
", , ,"?(n)
", , ,"Given that for counting sort the runtime is ?(n) to count occurrences and ?(k+n) to scan the count array andbuild the output then the runtime is?(d*(k+n)) where d and k are constants so?(n).(Lecture 12)
",
"Given an array of elements 5, 3, 6, 2, 1, 4, 7, how many iterations of h-sorting with h=2 would be required before we need to move on to h=1?
", , ,"3
", , ,"1st iteration gives us: 5, 2, 1, 3, 6, 4, 72nd iteration gives us: 1, 2, 5, 3, 6, 4, 73rd iteration to check: 1, 2, 5, 3, 6, 4, 7No swaps occurred in our 3rd iteration so we are done.
",
"Which of the following statements is/are true?When using a classical binary tree node with links to implement a heap:1) It is hard to find a node's parents to do reheapification swaps2) It is hard to find the bottom-most, left-most node during extraction3) It is hard to find the bottom-most, right-most open spot to insert a new node during insertion
","Only 1
", , , , ,"""1) It is hard to find a node's parents to do reheapification swaps"" is correct""2) It is hard to find the bottom-most, left-most node during extraction"" is incorrect: It is hard to find the bottom-most, right-most node during extraction""3) It is hard to find the bottom-most, right-most open spot to insert a new node during insertion"" is incorrect: It is hard to find the bottom-most, left-most open spot to insert a new node during insertion(Lecture 16)
",
"What will be the output of a pre-order traversal of the following tree if each node processed is printed out? 10 / \ 4 12 / \ \ 2 6 16
", , ,"10, 4, 2, 6, 12, 16
", , ,"The pre-order traversal algorithm is as follows:void preOrder(Node cur) { if (cur == null) { return; } System.out.print(cur.value + “ ”); preOrder(cur.left); preOrder(cur.right);}Thus, we start at the root and print out the value 10. Then we recursively process the nodes in the left sub-tree, printing out 4, then 2.At this point the 'cur' node will be null, and thus return. Then the algorithm works its way 'upwards' printing out the values of the right sub-trees.The resulting output is:10, 4, 2, 6, 12, 16
",
"Which two sorting algorithms are UNSTABLE AND have?(n log2n)as the average number of steps when sorting n items?
", ,"Quicksort and Heapsort
", , , ,,"rf504 (rf504 - permission to this course revoked)
"
"How many operations does the following code take?var x = 0;for(var i = 0; i < 2; i++) { x++;}
", ,"11
", , , ,"var x = 0;This is 2 operations (declaring a variable, and assigning it a value).var i = 0;This is 2 operations (declaring a variable, and assigning it a value).i < 2; This is 1 operation (happens 3 times).i++; This is 1 operation (happens 2 times).x++; This is 1 operation (happens 2 times).Therefore, 2 + 2 + (3 x 1) + (2 x 1) + (2 x 1) = 11
","ajb258 (ajb258 - permission to this course revoked)
"
"How many operations does the following code take?var x = 0;for(var i = 0; i < 2; i++) { x++;}
", ,"11
", , , ,"var x = 0;This is 2 operations (declaring a variable, and assigning it a value).var i = 0;This is 2 operations (declaring a variable, and assigning it a value).i < 2; This is 1 operation (happens 3 times).i++; This is 1 operation (happens 2 times).x++; This is 1 operation (happens 2 times).Therefore, 2 + 2 + (3 x 1) + (2 x 1) + (2 x 1) = 11
","ajb258 (ajb258 - permission to this course revoked)
"
"Jamal is designing software for sorting arrays of numbers of varying sizes. He wants to know which sorting algorithm he should use, based on the algorithm's average time complexity.Sarah thinks that Quicksort will be the best algorithm, however Albert thinks Selection-Sort would be faster. Who is correct?
","Sarah is correct, i.e. Quicksort has a better average time complexity.
", , , , ,,"ajb258 (ajb258 - permission to this course revoked)
"
"Which of these statements about an undirected graph is true?
", , ,"Undirected graphs' edges can be followed in either direction
", , ,,"awh28 (awh28 - permission to this course revoked)
"
"What is the worst case time complexity of insertion sort?
", , ,"
", , ,"Best case of insertion sort, when an array is nearly ordered, is , but in all other cases it is .
",
"Which list of numbers would the quicksort algorithm take the longest to sort into ascending order?
", , ,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2)
", , ,,"gtr25 (gtr25 - permission to this course revoked)
"
"What is the main benefit of using a linked list over another data structure like an array list?
", , ,"fast insertion and removal
", , ,,"dtfl20 (dtfl20 - permission to this course revoked)
"
"What does it mean for a Binary Tree to be 'perfectly balanced'?
", ,"For each node, the number of nodes in its left and right subtrees differ by at most one.
", , , ,"""A binary tree is “perfectly balanced” if for each node, the number of nodes in its left and right subtrees differ by at most one."" - Lecture 14 slides.
",
"What is the 'Big-Oh' time complexity of traversing a binary tree?
", , , ,"O(n)
", ,"When traversing a binary tree, each node is visitedexactly once. Therefore, for a binary tree withnnodes, the 'Big-Oh' time complexity isO(n).
",
"Which of these sorts has the average time complexity of T(n log(n))
","Merge Sort
", , , , ,"Merge sort has average time complexity of T(n log(n)) whereas each of the others have the time complexity ofT(n^2).
","dtfl20 (dtfl20 - permission to this course revoked)
"
"Which of these sorts has the average time complexity of T(n log(n))
","Merge Sort
", , , , ,"Merge sort has average time complexity of T(n log(n)) whereas each of the others have the time complexity ofT(n^2).
","dtfl20 (dtfl20 - permission to this course revoked)
"
"Which data structure has the fastest average insertion time?
","Linked List
", , , , ,,"hpa22 (hpa22 - permission to this course revoked)
"
"Given the matrix:0 1 0 00 0 1 00 0 0 10 0 0 0Which matrix is this the output dictating nodes which are three edges apart?
", , ,"0 0 0 10 0 0 00 0 0 00 0 0 0
", , ,"If you times the original matrix by itself three times, you get that answer.
",
"What additional property must an AVL tree have over a generic Binary Search Tree?
", , ,"The height of the left and right sub-trees of any node differ by at most 1
", , ,"An AVL tree is a BST in which the heights of the left and right sub-trees of each node differ at most by 1See: D&A-Lecture15-Trees3.pptx (slide 5)
",
"What type of traversal is Left-Right-Visit?
", , ,"Post-Order
", , ,,"aa2738 (aa2738 - permission to this course revoked)
"
"Why is it not recommended to use a 'closed hashtable with linear probing' if you want to remove items?
", ,"If the item we remove has the same hash value coming after it in the hashtable, then if and when we next search for this item we will not find it.
", , , ,,"rm896 (rm896 - permission to this course revoked)
"
"Which type(s) of sorting use recursion?i. Mergesort.ii. Quicksort.iii. Heapsort.
", , ,"i and ii.
", , ,"Only mergesort and quicksort use recursion in the given options.
",
"Consider two hash tables: a closed hash table with 750 buckets, 235 of which are empty; and an open hash table with 500 buckets and 275 keys inserted. What is the ratio of the average number of steps it will take to insert/find an item in the open hash table with respect to the closed hash table?
","0.603
", , , , ,"Start off by calculating the load factors of both hash tables, which is given by the formula L=(max # of keys to insert)/(total buckets in the array). So for closed hash table: L=(750-235)/750 =~0.69. For open hash table: L=275/500=~0.55. Now, the average number of steps to insert/find an item in closed hash table is given by #=0.5*[1+1/(1-L)], so that #=0.5*[1+1/(1-0.69)]=~2.113. For an open hash table, the average number of steps is simply given by A#=1+0.5*L, then A#=1+0.5*0.55=~1.275. Now, the ratio is #(open hash table)/#(closed hash table)=1.275/2.113=~0.603.
",
"Given the following array of a maxheap: [42,37,24,18,21,23,12,17,10,13,6,8]; what is the value of the right child of the right child of the node with value 37?
", , , ,"6
", ,"The formula for calculating the slot of the right child node is given by: rightChild(i)=2*i+2, where i is the index of the parent array. Therefore, the node with value 37 is located at index 1, then its right child is located at slot 2*1+2=4, which corresponds to 21. The right child of the node 21 is similarly found at 2*4+2=10, which corresponds to the node with value of 6.
",
"Which statement about Tree nodes is false.
", , , ,"A tree node can have one or more next pointers.
", ,"The tree node can't have one next pointer, as it needs to be able to point to at least both it's right and left child.
",
"What does a load factor of 0.9 mean?
","Your array has 10% more buckets than you need (you’ll fill 90% of the buckets).
", , , , ,"The “load” of a hash table is the maximum number of values (“keys”) you intend to add divided by number of buckets in the array.In simpler terms, when L = 0.9, your array is 10% bigger than required.
",
"Out of the input arrays below, which one would make the sorting algorithm, Quick Sort, most efficient.The numbers must be ordered from smallest to largest.
", , , ,"[5,2,3,1,6,4]
", ,"The run time for Quick Sort is ?(n^2) for already/mostly/reverse ordered arrays or arrays with the same value repeated many times.Quick Sort is most efficient when the array is not at all ordered, where its run time isnlog2(n).
",
"Which of the following trees is a AVL Tree?
", ,"Tree B
", , , ,,"nathalie (nl586 - permission to this course revoked)
"
"What is the definition of the ""load"" of a hash table?
","Maximum number of values you intend to add divided bynumber of buckets in the array
", , , , ,"A -Maximum number of values you intend to add divided by number of buckets in the array.(Lecture slides)
",
"What would this AVLTree look like after the following have been inserted and balancing has been performed?Insert from left to right:(45, 37, 48, 51)
","
", , , , ,,"ja795@bath.ac.uk (ja795 - permission to this course revoked)
"
"which of the adjacency matricesrepresent the following code:// undirected graphboolean[][] graph = new boolean[6][6]graph[3][0] = true;graph[2][1] = true;graph[4][1] = true;graph[5][2] = true;graph[0][3] = true;graph[0][5] = true;
", ,"0 1 2 3 4 50 _ _ _ T _ T1 _ _ _ _ _ _2 _ T _ _ _ _3 T _ _ _ _ _4 _ T _ _ _ _5 _ _ T _ _ _
", , , ,"can be found on Lecture 17 - Graphs 1 - Page 8""array[i][j] == true representsdirected edge from i to j.""where i is the columnand j is the rowgraph[0][5] = true;corresponds to the top right position in the matrix
",
"Given the array representing a max heap [30,25,28,7,19,12,22], which index is the parent of 12
", , ,"2
", , ,"parent = (child - 1) / 2 index, so in this case parent = (5 - 1) / 2 = 2. The second index which is the value 28.
",
"Which sorting algorithm (from lectures) is best to use?
", , , , ," Depends on the situation
","Quick Sort has an average run time T(nlog(n))and Merge Sort is alwaysT(nlog(n)), however Merge Sort requires extra RAM and Insertion Sort can beT(n) for already or nearly-ordered arrays; hence the fastest sorting algorithm depends on the situation (how large the array is or if it is nearly ordered...)
",
"Which tree traversal algorithm is described by the following?Visit each level's nodes from left to right before visiting nodes in the next level.
", , , ,"Level-Order
", ,"Given in Lecture 13.
",
"Which of these operations is a real operation that can be performed on a binary tree?
","Pruning.
", , , , ,,"davidmelling (dm819 - permission to this course revoked)
"
"Which of the following sorts are stable?
", , ,"Insertion Sort
", , ,"Covered in lectures 10 & 11.
",
"In graph theory, the handshaking lemma states that ""In any finite undirected graph, the number of vertices with odd degree is even"".The lemma is a consequence of thedegree sum formula: for a graph with vertex set and edge set .Work out the sum of degrees of the vertices for the following undirected graph:
", , ,"26
", , ,"EXPECTED METHOD:If we follow thedegree sum formula = number of edges = 13 = 26ALTERNATIVE METHOD:Degree of each node:A = 3 B = 3 C = 1 D = 3 E = 5 F = 1 G =3 H = 1 I = 5 J = 1Sum of degrees:3 + 3 + 1 + 3 + 5 + 1 + 3 + 1 + 5 + 1= 26 = 26More information found here:- https://en.wikipedia.org/wiki/Degree_(graph_theory)-https://en.wikipedia.org/wiki/Handshaking_lemma
",
"In an open Hashtable, we want to store 2000 elements and be able to find any in around 1.40 steps. How many buckets should our Hashtable have?
", ,"2500
", , , ,"Using the following formula for an open Hashtable:ave. number of steps = 1 + L/2,we find L = 0.8.Then using the formula for the load L:0.8 = max. number of elements to insert / total buckets,we get 0.8 = 2000 / total buckets, and thus total buckets = 2500.
",
"What is the asymptotic memory usage of an adjacency list?
", , , , ,"
","As there is a linked list for each vertex - so , and that linked list contains all the edges for that vertex - so .
",
"What is the average time complexity of Interpolation Search, an improved Binary Search algorithm, on a sorted array of N uniformly distributed elements?
", , , ,"?(log(log(N)))
", ,"Given in lecture 2.
",
"What makes a sorting algorithm 'stable'?
", , , ,"The algorithm keeps the entered order of items of equal value.
", ,"The algorithm is called a stable algorithm if the original order of equal value items is maintained rather than any additional sorting being performed. This is helpful when order of item entry is relevant to the task.
",
"What is the main condition of a mixed graph (ADT) in terms ofn and m?n = number of directed edgesm = number of undirected edges
", ,"
", , , ,"A mixed graph consists of a set of vertices (or nodes) V, a set of undirected edges, and a set of directed edges.Hence for a mixed graph to exist, the number of directed and undirected edges does not matter as long as .Example:More information found here:https://en.wikipedia.org/wiki/Mixed_graph
",
"Consider the following statements about lists. Which, or all are true?
", , , , ," All of the above
","A) Run time of accessing a specific element in an array is always of order 1.B) At most n elements have to be searched through in a linked list. Hence a run time of order n.C) The worst case is the higher lanes cannot be used or are not there, so has the same run time as an ordinary linked list.D) Start in the highest lane. The next node is null, so move down 1 lane. The next node (4) is less than 10 so move to the next node (6). The next pointer is null, so drop down a level. Next pointer on this level is 9 (<10) so we move here. Next is null, so drop down a level (now at the lowest). Finally, the next node is 10, which is what we are looking for.E) All true as above, so E is the correct answer
",
"What is the formula for the average number of steps needed to find an item in a closed hash table of size N given the load factor L, 0 <= L <=1.0 ?
", , , , ," 1/2 (1+1/(1-L))
","To find the average number of steps, add together the minimum number of steps to find bucket which is always 1 and then add the max steps to find the bucket, which is 1/(1-L) then divide by 2 so we get 1/2 (1 + 1/(1-L))
",
"How will the list 9, 4, 7, 5, 8, 6, 1, 2 look after the first pass of 3-sort (shellsort h=3) and after all passes are complete.
", , ,"First Pass: 5, 4, 6, 1, 2, 7, 9, 8Complete: 1, 2, 6, 5, 4, 7, 9, 8
", , ,"H-sort algorithm:Pick a value of h (for example = 3)For each element in the array if A[i] and A[i+h] are out of order then swap.So for9, 4, 7, 5, 8, 6, 1, 2Consider 9 and 5 (which is 3 places along from 5), they are out of place so swap5, 4, 7, 9, 8, 6, 1, 2Consider 4 and 8 - in order so dont swapConsider 7 and 6 - out of order so swap5, 4, 6, 9, 8, 7, 1, 2Consider 9 and 1 - out of order so swap5, 4, 6, 1, 8, 7, 9, 2Consider 8 and 2 - out of order so swap5, 4, 6, 1, 2, 7, 9, 8No more elements to consider so this is the first passSince there were swaps we must repeat againConsider 5 and 1 - out of order so swap1, 4, 6, 5, 2, 7, 9, 8Consider 4 and 2, out of order so swap1, 2, 6, 5, 4, 7, 9, 8Consider 6 and 7 - in order no swapConsider 5 and 9 - in order no swapConsider 4 and 8 - in order no swapSince there was a swap consider from start again1, 2, 6, 5, 4, 7, 9, 8Consider 1 and 5 - in order no swapConsider 2 and 4 - in order no swapConsider 6 and 7 - in order no swapConsider 5 and 9 - in order no swapConsider 4 and 8 - in order no swapComplete so after final pass it is 1, 2, 6, 5, 4, 7, 9, 8
",
"For the given AVL Tree, if 5 is inserted what rotation will be required to re-balance the tree?
", ,"Right Rotation about node 6, then left rotation about node 4.
", , , ,"From the given figure you can see what the tree will look like after inserting 5. 4 is the first node we approach when rebalancing the tree after inserting 5 that has a balance value <=-2 or >= 2. So we have to rotate about 4. As the rightchild of 4 has a balance of -1, this is the case for a double rotation, right rotate the rightchild (node 6), then left rotate on node 4.
",
"If we take an Adjacency Matrix, A, that represents a graph, and multiply it by itself n times, we find out:
", ,"which vertices are n edges apart
", , , ,"From the lecture notes we have:A^2 gives us the number of vertices that are 2 edges awayA^3 gives us the number of vertices that are 3 edges awayGeneralising this gives:A^n gives us the number of vertices that are n edges away
",
"Which of the following sorting algorithms are stable?
","Insertion sort
", , , , ,"Shell, heap and quick sort all involve 'swapping' elements, and so order of equal elements may change during the sorting process.
",
"In a SkipList of n elements, how many elements are expected in lane 1 and lane 3?
", , ,"n in lane 1, and n/4 in lane 3
", , ,"For each lane in a skip list, the expected number of elements in each lane halves:Lane 1: n (contains all elements)Lane 2: n/2Lane 3: n/4 (n/2 divided by 2)Lane 4: n/8 (n/4 divided by 2)
",
"How many of the following sort methods are stable:Selection SortShell SortBubble SortHeap SortMerge Sort
", ,"2
", , , ,"From the given sort methods only Bubble sort and Merge sort are stable.
",
"Which of the following is a valid maxheap? (Assuminglexicographic order)
", ,"
", , , ,"A) Not correct as Zenith>Moss, and Quazar>MossB) Each node is greater than or equal to it's children and is a complete treeC) Arthur > AaronD) Wilson > JerryE) Not a complete tree. (Level 3 missing the left child of Jerry)
",
"Given the elements [14, 18, 3, 2, 1, -1, -4, 5, 20], find the final balanced AVL Tree.
", , , ,"2 -1 14-4 1 3 18 5 20
", ,"Insert 14, 18, 3, 2, 1: 14 3 18 21Rebalance at ""3"": 14 2 181 3Insert ""-1"": 14 2 18 1 3-1Rebalance at ""14"": 2 1 14-1 3 8Insert ""-4"": 2 1 14 -1 3 18-4Rebalance at ""1"": 2 -1 14-4 1 3 18Insert ""5"" & ""20"": 2 -1 14-4 1 3 18 5 20
",
"Insert the elements -3, -5, -1, 5, 0, 4, into a standard closed hashtable (of size 6) with linear probing (to the right) in that order.The hash function has the form h(x) = ((x+1)2-3) % 6.What does the final hashtable look like?
","4, -3, -5, -1, 5, 0
", , , , ,"h(-3) = 1. Insert into slot 1.h(-5) = 1. Slot 1 is taken so insert into slot 2.h(-1) = 3. Insert into slot 3.h(5) = 3. Slot 3 is taken so insert into slot 4.h(0) = 4. Slot 4 is taken so insert into slot 5.h(4) = 4. Slot 4 is taken and so is slot 5. So insert into slot 0. (Also last free slot).If you chose B then you probed in the wrong direction.
","jma52 (jma52 - permission to this course revoked)
"
"Insert the elements -3, -5, -1, 5, 0, 4, into a standard closed hashtable (of size 6) with linear probing (to the right) in that order.The hash function has the form h(x) = ((x+1)2-3) % 6.What does the final hashtable look like?
","4, -3, -5, -1, 5, 0
", , , , ,"h(-3) = 1. Insert into slot 1.h(-5) = 1. Slot 1 is taken so insert into slot 2.h(-1) = 3. Insert into slot 3.h(5) = 3. Slot 3 is taken so insert into slot 4.h(0) = 4. Slot 4 is taken so insert into slot 5.h(4) = 4. Slot 4 is taken and so is slot 5. So insert into slot 0. (Also last free slot).If you chose B then you probed in the wrong direction.
","jma52 (jma52 - permission to this course revoked)
"
"The runtime for the following code fragment is?(f(m,n)). What is f(m,n)?int a;for (int i = -5; i < n; i++) for (int j = 1; j < 2i+1; 2*j) for (int k = 1; k < n-1; 3*k) a=a+1; for (int l = 0; l < m; 5*l) a=a+j;return a;
", , , ,"?(nlog(n)log(nm))
", ,"First loop has?(n) operations.Second loop has?(n) operations.Third loop has?(log(n)) operations.Fourth loop has?(log(m)) operations.In the second loop we have the sum of the third and fourth loops which have different bases. So we get?(log(n) + log(m)) operations. Bases of logarithms do not matter so we can use logarithmic laws to get?(log(n) + log(m)) =?(log(nm)).Then multiply these loops together to get?(n*log(n)*log(nm)) =?(n log(n) log(nm)).
",
"Which is not a form of tree traversal
", , , ,"By-order
", ,"By-order is not a traversal method.
",
"Which sort uses h-sorting?
", ,"Shell Sort
", , , ,"Shell sort uses h sort multiple times with a range of values, always ending in 1.
",
"See the incomplete java code below for the classes ListNode and LinkedList:class ListNode { Object element; ListNode next; ListNode(Object e, ListNode n) { element = e; next = n; }}class LinkedList { private ListNode head = null; private int n = 0; // n is the list size public Object get(int i) { if (i<0 || i>=n) { // …error! } ListNode node = head; X return node.element; }}The method get finds nodeiin the linked list and outputs its element (get(0) outputs head.element). Which code should go at the place marked X for the method to work correctly?
", ,"for (int j=0; j<i; j++) { node = node.next;}
", , , ,"(d) and (e) are wrong because the assignment ""node.next = node"" is incorrect - this line would repeatedly make the assignment head.next = head.To find node i, the line ""node = node.next"" needs to be executed itimes. Examples:If i=0, the line ""node = node.next"" should not be executed because get(0) should outputhead.elementIf i=2, the line ""node = node.next"" should be executed 2 times so that node=head.next.next, which is node 2 in the listWe are left with (a), (b) and (c).(a) executes the line ""node = node.next"" (i-1) times(b) executes the line ""node = node.next"" i times(c) executes the line ""node = node.next"" (i+1) timesTherefore the answer is (b).
",
"Using selection sort, which of the following permutations of [1,2,3,4,5] takes 5 swaps? (Ascending order)
", ,"[5,1,2,4,3]
", , , ,"[5,1,2,4,3][1,5,2,4,3] (1)[1,2,5,4,3] (2)[1,2,4,5,3] (3)[1,2,3,5,4] (4)[1,2,3,4,5] (5)
",
"What is the Big-O of the code below for a random value of j?if( j>=0 && j<=5) a+=5;else if( j<0){ for(int i = 0; i<=n; i++){ a+=3; }}else{ for(int i = 0; i<n*n; i++){ a+=8; }}
", ,"n^2
", , , ,"For Big-O we need to look at only the worst case which is the last else for the given code. The complexity then is 4n^2 +2 which means that the Big-O is n^2.
",
"Of the following statements, which of these are not correct:
", , , , ," A double rotation is required for nodes on the outside of the tree.
","A double rotation is required when a node is on the inside of the tree, one to move it to the outside, and another to rebalance the tree.
",
"What is the complexity of the worst-case scenario for quicksort?
", , , ,"n2
", ,"The worst-case scenario for quick sort is if it repeatedly selects an extreme end of the dataset, meaning that each recurse only reduces the problem by one step, thus n2.
",
"A skip list containing lanes from 0 to 12 is used to organise 262000 elements.On average, what will the combined sum of pointers in lanes 3, 8 and 11 be closest to?
", ,"34000
", , , ,"~ 34000
",
"Which of the following notations are used to represent the “exact bound” for the complexity of an algorithm?
", ,"?(n)
", , , ,,"gray (jg2124 - permission to this course revoked)
"
"Provided that the load factor is limited, what is the runtime complexity of insert, find and remove for a hashtable?
", , ,"?(1) for all
", , ,"Summary of Hashtables Lecture 2 - provided a limited load factor (max number of keys to insert / total buckets in the array) complexity is linear for find, remove and insert!
",
"Which of the below is the correct order of asymptotic complexity, from fastest to slowest
", ,"1, log(n), n, n2, 2n
", , , ,"1 (linear) is fastest, followed by log(n), n, n2 and 2n.
",
"Binary Search Trees, Binary Trees and AVL Trees are all types of Tree, but which is a special type of which?
", , ,"AVL Tree is a type of Binary Search Tree which is a type of Binary Tree
", , ,"An AVL Tree is a type of balanced Binary Search Tree, and a Binary Search Tree is a type of Binary Tree where all nodes in the left subtree are less than the node's value, and all nodes in the right subtree are greater than the node's value.
",
"Which of the following sorting algorithms use a 'Divide & Conquer' strategy?
", , , ,"Quick Sort & Merge Sort
", ,"Both merge and quick sorts split a given list into smaller lists and then sort those - this is what is meant by 'Divide & Conquer'.
",
"In which order (from first to last) are nodes processed by an In-Order traversal of a binary tree?
", ,"Left Sub-Tree, Current Node, Right Sub-Tree
", , , ,"In-Order processes left nodes before the current node and then finishes with right nodes.
",
"How many different orders of the characters 'B', 'A', 'T', 'H' can be inserted into the AVL tree described in lectures, such that preorder traversal will return ""BATH""?
", , ,"6
", , ,"'B', 'A', 'T', 'H''B', 'T', 'A', 'H''A', 'B', 'T', 'H''A', 'T', 'B', 'H''T', 'A', 'B', 'H''T', 'B', 'A', 'H'
",
"What is the definition of precision?
","When you take repeated measurements and get similar values
", , , , ,,"cdm57 (cdm57 - permission to this course revoked)
"
"What are the advantages of a linked list over an array?
", , , , ," A and C
","INSERT: Inserting in an array is difficult, all n items will need to be shifted to the right. However, insertion can be achieved in a few steps in a linked list by simple reassignment of nodes.GET: Any element in an array can be reached in one step. However, to get to element at index i in a linked list would require going through i-1 nodes to get to it.REMOVE: In a linked list, an item can be removed in a few steps. However, in an array, all following items must be shifted to the left.
",
"Which of the following sorting algorithms is always stable?
", ,"Bubble sort
", , , ,"A sort is considered to be stable if the original order of the input is preserved, i.e. if there is a comparison between two equal items, the one that appeared first in the input will appear before the second item in the sorted output too.Bubble sort is stable because it only swaps elements if one is strictly less than the other.However, selection sort is unstable, for example, because it swaps the least value with the first value - but what if they are the same?
",
"In an AVL Tree, what is the maximum balance factor a node can have before it needs re-balancing?
", , , ,"1
", ,"In an balanced AVL Tree, all nodes should have a balance factor of -1, 0 or 1. This means that the maximum balance factor a node can have before needing to be re-balanced is 1. -1 is the minimum balance factor accepted.
",
"Using binary search with a data set with 1,048,576 elements, what is the maximum number of iterations would it take to find a specific element?
","20
", , , , ,"20 iterations. Binary search is log2(n) - so log2(1048576) = 20.
",
"With the BST below, what is the maximum number of elements which can be inserted into the root's left sub-tree until the tree is not an AVL tree (include the insertion which causes the unbalance as part of your answer)?5 \ 6
", , ,"4
", , ,"3 insertions will cause the tree to look like: 5 / \ b 6 / \a cwhich is balanced, then the next insertion has to be below a or c. Hence the 4th insertion causes the tree to not be an AVL tree.
",
"Which is a valid comparison between open and closed hash tables?
", , ,"Closed hash table:- Smaller memory consumptionOpen hash table:- Faster run time
", , ,"An open hash table is going to take up more space since it allows for adding unlimited elements to its buckets, and in order to speed it up, it should purposefully be made too large.A closed hash table takes up a static amount of memory, less than an open hash table would, but will in comparison run slower.
",
"Which of the following statements is false?
", , ,"In a binary tree, every node has at least 2 children
", , ,"In a binary tree, every node has at MOST 2 children nodes
",
"Which is faster (linked list or array) when1) inserting a new item at front?2) removing an item from the middle?
","1) linked list 2) linked list
", , , , ,"1) linked list done in a few steps where as with an array we would have to shift all n items right first2)Once we’ve found the item we want to delete, we can remove it in a few steps. With an array, we’d have to shift all the following items left one slot.
",
"What is the time complexity of adding and deleting items in a priority queue
", ,"Add: O(logn)Remove O(logn)
", , , ,"google heaps geeks for geeks
","iwonderwhothisislol (eg574 - permission to this course revoked)
"
"What is the time complexity of adding and deleting items in a priority queue
", ,"Add: O(logn)Remove O(logn)
", , , ,"google heaps geeks for geeks
","iwonderwhothisislol (eg574 - permission to this course revoked)
"
"What is the average case run-time of heap sort?
", , ,"O(n * log(n))
", , ,"Time complexity of heap sort is O(n * log(n))http://bigocheatsheet.com/
",
"Assuming 0 indexed array representation of a heapwhat is the index of the right child of the node at index 5
","12
", , , , ,"formula is:public int getRightChild(int i) { if(2 * (i + 1) >= pointer) return -1; return 2 * (i + 1);}
","iwonderwhothisislol (eg574 - permission to this course revoked)
"
"Assuming 0 indexed array representation of a heapwhat is the index of the right child of the node at index 5
","12
", , , , ,"formula is:public int getRightChild(int i) { if(2 * (i + 1) >= pointer) return -1; return 2 * (i + 1);}
","iwonderwhothisislol (eg574 - permission to this course revoked)
"
"What are the rules for a max heap as a binary tree?1. Value obtained by a node is always greater than or equal to the values of the node's children.2. The tree is a complete binary tree3. The tree must be balanced
", , , , ," 1 and 2
","These are the conditions for a max heap:Value obtained by a node is always greater than or equal to the values of the nodes children.The tree is a complete binary tree
",
"Assume a heap stored at an 0 indexed array.What is the index of the parent of the item in index 5.
","2
", , , , ,"Formula is :public int getParent(int i) { if (i == 0) return -1; return (i + 1) / 2 - 1;}
","iwonderwhothisislol (eg574 - permission to this course revoked)
"
"Assume a heap stored at an 0 indexed array.What is the index of the parent of the item in index 5.
","2
", , , , ,"Formula is :public int getParent(int i) { if (i == 0) return -1; return (i + 1) / 2 - 1;}
","iwonderwhothisislol (eg574 - permission to this course revoked)
"
"Below is an incorrect implementation of Selection Sort for sorting items in ascending order. What is wrong with the code? You may assume the swap function is correct.void selectionSort(int a[], int n){ for (int i = 0; i < n-1; i++){ int minIndex = i; for (int j = i + 1; j < n-1; j++){ if (a[j] < a[minIndex]){ minIndex = j; } } swap(a, i, minIndex); }}
", ,"The algorithm only sorts the first n-1 items in the list.
", , , ,"The for-loop's should compare up to index n-1 i.e. the last element. This code only compares the first n-2 elements i.e. the second to last element.
",
"Below is some code which preforms an operation on a positive integer. Describe what the code returns? Note that the '%' operator give the modulus.int doSomething(int n){ int result; int d; while( n != 0){ d = n%10; n = n/10; result = result * 10; result = result + d; } return result;}
", , , , ," The code reverses the input integer.
","Consider the code applied to the integer 1234. We track the variables through the code.n d result1234 0 0 123 4 0 412 3 40 431 2 430 4320 1 4320 4321returned integer is: 4321 (so the code reverses a positive integer)
",
"Why is is not possible to remove an entry from a Closed Hash Table with Linear Probing?
", , ,"Removing an entry from a Closed Hash Table with Linear Probing destroys the ""structure"" of linear probing when searching for an entry.
", , ,"If a key has the same hash value as an entry already in the hash table then we insert it in the next available space below the hash value. Now when searching we compute the hash value of the entry which we wish to find then beginning at the hash value we search through the hash table until we either reach the entry or a blank space. If we were to remove an item from the hash table then if we were to search for an entry with the same hash value which came after the removed entry our search would come back false even though the entry is in the hash table.
",
"What is an AVL Tree?
", , ,"a Binary Tree in which the heights of the left and right sub-trees of each node differ at most by 1.
", , ,,"bb585@bath.ac.uk (bb585 - permission to this course revoked)
"
"A quadratic time algorithm uses 27 elementary operations when given an input n=10. What is the (most likely) amount of elementary operations for n=1000?
", , , ,"270,000
", ,"We can represent this problem as an equation; let f(x) = cx^2 where c is a constant to be calculated. We know that 27 = c * 10^2, so c = 27/100.Now lets look at the case where n=1000; f(x) = 27/100 * 1000^2. This equates to 270,000
",
"From the diagram (above), what would the balance value of the node with value ""Ronda"" be? Is this an AVL tree?
", , ,"2 & NOT an AVL tree
", , ,"The balance value of a node is calculated by calculating the heights of the nodes left and right subtrees; balance = rightSubtree.height - leftSubtree.height.This is NOT an AVL tree, the definition of an AVL tree is as follows: ""a BST (binary search tree) in which the heights of the left and right sub-treesof each node differ at most by 1."" As we have a balance factor not in the range [-1,1], it is not an AVL tree.
",
